duration,sample_rate,n_samples,spectral_centroid,spectral_rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,instrument,instrument_code
2.9999773242630385,44100,132299,1273.9670379372365,2121.4777766047296,0.03364238959942085,-548.2993,189.76556,-21.121988,15.259335,18.991768,16.186731,-1.0312039,-5.9837685,-2.8859634,-7.8712487,-3.192724,-0.5642536,1.159621,cello,cel
2.9999773242630385,44100,132299,1114.1815281538068,1647.8304476351352,0.03136500060328185,-490.46875,199.81818,-19.260862,-12.077484,8.4117365,-16.732357,-10.314313,-8.085918,-16.348162,-9.9118,1.9505813,10.183851,6.4750924,clarinet,cla
2.9999773242630385,44100,132299,1324.1992497738868,1637.105415962838,0.0427406340492278,-380.33762,194.65242,0.8453114,-12.05119,-26.30771,-1.4282566,-24.314156,-6.283202,-30.798773,-28.55366,-16.88861,-7.6285133,4.8405166,flute,flu
2.9999773242630385,44100,132299,1964.2141741468736,4332.7465160472975,0.03671158602799228,-278.91214,158.8905,-36.630486,61.61024,1.00434,8.687524,-5.0992446,7.343457,6.391512,-3.2760994,-11.556582,-14.642725,-3.589544,acoustic_guitar,gac
2.9999773242630385,44100,132299,3091.7629629402013,6372.497888513513,0.07706737150096525,-38.778076,145.61316,-57.445774,60.995018,-12.876042,40.149277,-21.299213,17.16719,-8.697524,3.6042929,-3.953938,3.3014686,7.279699,electric_guitar,gel
2.9999773242630385,44100,132299,2261.7620856597637,5350.876266891892,0.0304695041023166,-277.13245,136.55972,7.2170577,89.928444,-14.264209,29.523155,-8.560342,15.121854,0.57121986,10.197439,5.1697984,0.08111272,5.572669,organ,org
2.9999773242630385,44100,132299,830.6529488502426,1254.1635874155406,0.026827189913127412,-424.46933,237.9829,6.731316,-3.2026544,14.532297,-7.6911707,-5.93855,1.828542,0.12649268,-1.4197458,-6.210312,-15.246059,-15.932625,piano,pia
2.9999773242630385,44100,132299,1190.2687364360456,1935.5772276182433,0.04177161257239382,-413.931,207.80403,-22.068098,-14.186793,15.088852,-0.96658045,-15.738502,-18.362547,-19.197235,-7.92865,-6.505376,-1.5426582,5.9542155,saxophone,sax
2.9999773242630385,44100,132299,2734.071434966221,5940.753008868243,0.06008498733108108,-149.52644,152.7551,-32.94911,41.4912,-22.382288,42.44897,-14.681265,23.999647,-14.712138,1.2468052,-8.614997,-6.07098,3.38631,trumpet,tru
2.9999773242630385,44100,132299,1463.5070585439703,2866.0776499155404,0.027637849903474905,-268.20392,171.63776,-21.048864,39.13914,18.191977,15.5439415,12.043063,13.864721,-2.7145398,2.4611168,-2.069359,2.2198212,-6.220267,violin,vio
2.9999773242630385,44100,132299,2644.925440756806,5188.171716638513,0.06795970077220077,-131.02821,152.53014,-49.518948,55.144253,2.6554096,32.75969,-12.761341,6.186017,-0.2424934,1.6686356,-5.7909803,-2.7206726,-4.6438656,voice,voi
